position,item,sum_rank,avg_rank
387,6396,24116,4823.2000
388,8354,24121,4824.2000
389,6456,24128,4825.6000
390,447,24131,4826.2000
391,5388,24139,4827.8000
392,7957,24145,4829.0000
393,1460,24152,4830.4000
394,4794,24168,4833.6000
395,3064,24169,4833.8000
396,6181,24175,4835.0000
397,2471,24179,4835.8000
398,2378,24190,4838.0000
399,1553,24198,4839.6000
400,2203,24203,4840.6000
401,7654,24204,4840.8000
402,7888,24216,4843.2000
403,85,24224,4844.8000
404,8866,24228,4845.6000
405,8767,24237,4847.4000
406,4382,24293,4858.6000
407,3084,24325,4865.0000
408,7081,24353,4870.6000
409,8703,24368,4873.6000
410,4600,24369,4873.8000
411,507,24373,4874.6000
412,6523,24391,4878.2000
413,6596,24392,4878.4000
414,3109,24393,4878.6000
415,4451,24398,4879.6000
416,7527,24421,4884.2000
417,8042,24427,4885.4000
418,8256,24436,4887.2000
419,4154,24455,4891.0000
420,1357,24456,4891.2000
421,8855,24457,4891.4000
422,7492,24474,4894.8000
423,9894,24479,4895.8000
424,3898,24487,4897.4000
425,5987,24505,4901.0000
426,3828,24515,4903.0000
427,8825,24520,4904.0000
428,7954,24531,4906.2000
429,5008,24533,4906.6000
430,1388,24553,4910.6000
431,7511,24555,4911.0000
432,3012,24561,4912.2000
433,6293,24562,4912.4000
434,807,24576,4915.2000
435,4914,24580,4916.0000
436,2449,24588,4917.6000
437,7855,24591,4918.2000
438,2877,24608,4921.6000
439,3659,24608,4921.6000
440,6329,24611,4922.2000
441,6097,24626,4925.2000
442,2558,24627,4925.4000
443,3731,24627,4925.4000
444,3100,24629,4925.8000
445,4007,24630,4926.0000
446,2370,24642,4928.4000
447,7965,24646,4929.2000
448,7903,24649,4929.8000
449,3146,24656,4931.2000
450,3532,24674,4934.8000
451,4658,24674,4934.8000
452,1774,24676,4935.2000
453,8470,24679,4935.8000
454,2443,24681,4936.2000
455,7945,24684,4936.8000
456,5153,24688,4937.6000
457,8775,24698,4939.6000
458,6646,24702,4940.4000
459,5567,24710,4942.0000
460,5801,24712,4942.4000
461,5280,24726,4945.2000
462,1655,24765,4953.0000
463,6784,24767,4953.4000
464,9072,24768,4953.6000
465,957,24775,4955.0000
466,7704,24783,4956.6000
467,1218,24790,4958.0000
468,3278,24798,4959.6000
469,3919,24823,4964.6000
470,3735,24825,4965.0000
471,9194,24830,4966.0000
472,8525,24862,4972.4000
473,3200,24879,4975.8000
474,9061,24884,4976.8000
475,3753,24886,4977.2000
476,165,24895,4979.0000
477,1863,24903,4980.6000
478,8770,24904,4980.8000
479,3164,24909,4981.8000
480,4419,24909,4981.8000
481,6494,24925,4985.0000
482,9610,24949,4989.8000
483,301,24958,4991.6000
484,8895,24967,4993.4000
485,7854,24976,4995.2000
486,4687,24980,4996.0000
487,7531,24983,4996.6000
488,6978,25009,5001.8000
489,9974,25029,5005.8000
490,9739,25051,5010.2000
491,3501,25068,5013.6000
492,5447,25068,5013.6000
493,3282,25087,5017.4000
494,4897,25087,5017.4000
495,616,25117,5023.4000
496,8588,25123,5024.6000
497,5204,25134,5026.8000
498,7331,25153,5030.6000
499,4036,25161,5032.2000
500,4534,25163,5032.6000
501,8886,25170,5034.0000
502,1744,25183,5036.6000
503,8152,25205,5041.0000
504,7632,25209,5041.8000
505,7391,25213,5042.6000
506,9006,25240,5048.0000
507,5406,25241,5048.2000
508,5576,25244,5048.8000
509,2147,25255,5051.0000
510,3015,25263,5052.6000
511,7025,25266,5053.2000
512,1147,25275,5055.0000
513,9512,25279,5055.8000
514,9924,25281,5056.2000
515,7997,25282,5056.4000
516,2002,25291,5058.2000
517,3757,25308,5061.6000
518,2969,25311,5062.2000
519,1807,25325,5065.0000
520,2762,25331,5066.2000
521,5546,25331,5066.2000
522,8092,25343,5068.6000
523,2466,25350,5070.0000
524,9167,25356,5071.2000
525,3466,25359,5071.8000
526,514,25360,5072.0000
527,98,25367,5073.4000
528,4306,25369,5073.8000
529,4725,25373,5074.6000
530,5844,25373,5074.6000
531,5792,25378,5075.6000
532,972,25382,5076.4000
533,8800,25387,5077.4000
534,5401,25388,5077.6000
535,8310,25389,5077.8000
536,8138,25406,5081.2000
537,1183,25407,5081.4000
538,4147,25407,5081.4000
539,8065,25414,5082.8000
540,8904,25421,5084.2000
541,4709,25422,5084.4000
542,3093,25423,5084.6000
543,8035,25433,5086.6000
544,5065,25439,5087.8000
545,3623,25440,5088.0000
546,5854,25450,5090.0000
547,5179,25456,5091.2000
548,5213,25458,5091.6000
549,8270,25472,5094.4000
550,3966,25478,5095.6000
551,3504,25484,5096.8000
552,801,25484,5096.8000
553,2779,25510,5102.0000
554,2960,25521,5104.2000
555,9807,25523,5104.6000
556,7309,25533,5106.6000
557,7057,25543,5108.6000
558,5044,25548,5109.6000
559,7987,25554,5110.8000
560,7736,25561,5112.2000
561,7721,25567,5113.4000
562,9837,25571,5114.2000
563,6664,25572,5114.4000
564,4848,25583,5116.6000
565,6763,25583,5116.6000
566,1741,25590,5118.0000
567,7471,25594,5118.8000
568,6272,25596,5119.2000
569,3426,25601,5120.2000
570,2683,25603,5120.6000
571,2300,25605,5121.0000
572,7650,25616,5123.2000
573,5680,25624,5124.8000
574,5423,25631,5126.2000
575,731,25633,5126.6000
576,6634,25658,5131.6000
577,7829,25658,5131.6000
578,8560,25659,5131.8000
579,7543,25666,5133.2000
580,8447,25675,5135.0000
581,9276,25675,5135.0000
582,7807,25676,5135.2000
583,5674,25678,5135.6000
584,5531,25685,5137.0000
585,3747,25686,5137.2000
586,8427,25693,5138.6000
587,5269,25701,5140.2000
588,4065,25715,5143.0000
589,247,25726,5145.2000
590,6557,25732,5146.4000
591,7973,25743,5148.6000
592,4646,25753,5150.6000
593,8580,25754,5150.8000
594,810,25758,5151.6000
595,1437,25774,5154.8000
596,6720,25789,5157.8000
597,1329,25790,5158.0000
598,4918,25793,5158.6000
599,9080,25794,5158.8000
600,2141,25795,5159.0000
601,3771,25800,5160.0000
602,5312,25813,5162.6000
603,5822,25820,5164.0000
604,8877,25827,5165.4000
605,217,25830,5166.0000
606,3909,25830,5166.0000
607,3550,25835,5167.0000
608,6134,25836,5167.2000
609,9241,25844,5168.8000
610,5585,25849,5169.8000
611,5077,25850,5170.0000
612,8532,25862,5172.4000
613,5245,25865,5173.0000
614,5677,25865,5173.0000
615,8848,25876,5175.2000
616,9528,25880,5176.0000
617,6118,25883,5176.6000
618,2059,25885,5177.0000
619,2107,25887,5177.4000
620,674,25892,5178.4000
621,9486,25892,5178.4000
622,7708,25919,5183.8000
623,7193,25926,5185.2000
624,5305,25927,5185.4000
625,8016,25929,5185.8000
626,845,25929,5185.8000
627,6302,25931,5186.2000
628,239,25940,5188.0000
629,295,25951,5190.2000
630,2903,25960,5192.0000
631,5841,25963,5192.6000
632,5227,25968,5193.6000
633,3959,25970,5194.0000
634,1432,25977,5195.4000
635,1032,25992,5198.4000
636,3715,25997,5199.4000
637,4596,26006,5201.2000
638,4055,26008,5201.6000
639,4554,26010,5202.0000
640,145,26021,5204.2000
641,6740,26024,5204.8000
642,8062,26026,5205.2000
643,9789,26031,5206.2000
644,3371,26040,5208.0000
645,5639,26040,5208.0000
646,2811,26052,5210.4000
647,1786,26055,5211.0000
648,6711,26055,5211.0000
649,9320,26067,5213.4000
650,3391,26068,5213.6000
651,6455,26069,5213.8000
652,7737,26072,5214.4000
653,2739,26078,5215.6000
654,5352,26088,5217.6000
655,6322,26096,5219.2000
656,2284,26098,5219.6000
657,3855,26099,5219.8000
658,5693,26102,5220.4000
659,5171,26121,5224.2000
660,1478,26134,5226.8000
661,9225,26145,5229.0000
662,9958,26162,5232.4000
663,4648,26164,5232.8000
664,2188,26170,5234.0000
665,5719,26176,5235.2000
666,7662,26176,5235.2000
667,6169,26188,5237.6000
668,6348,26198,5239.6000
669,7497,26198,5239.6000
670,4707,26202,5240.4000
671,5234,26202,5240.4000
672,6317,26202,5240.4000
673,3698,26205,5241.0000
674,2948,26206,5241.2000
675,4062,26211,5242.2000
676,820,26228,5245.6000
677,8717,26235,5247.0000
678,5205,26236,5247.2000
679,1621,26247,5249.4000
680,8614,26253,5250.6000
681,7395,26260,5252.0000
682,5850,26264,5252.8000
683,1174,26270,5254.0000
684,8202,26271,5254.2000
685,6626,26286,5257.2000
686,2258,26287,5257.4000
687,2986,26302,5260.4000
688,5722,26322,5264.4000
689,7878,26325,5265.0000
690,2784,26331,5266.2000
691,4706,26336,5267.2000
692,6164,26339,5267.8000
693,9324,26341,5268.2000
694,1229,26345,5269.0000
695,9530,26346,5269.2000
696,9523,26363,5272.6000
697,427,26376,5275.2000
698,51,26382,5276.4000
699,4184,26388,5277.6000
700,2247,26426,5285.2000
701,234,26432,5286.4000
702,7406,26432,5286.4000
703,7444,26432,5286.4000
704,3899,26450,5290.0000
705,6064,26450,5290.0000
706,8066,26453,5290.6000
707,5599,26455,5291.0000
708,8851,26455,5291.0000
709,8952,26457,5291.4000
710,2023,26467,5293.4000
711,2049,26467,5293.4000
712,1130,26468,5293.6000
713,7158,26471,5294.2000
714,9340,26471,5294.2000
715,1151,26473,5294.6000
716,8096,26477,5295.4000
717,9689,26479,5295.8000
718,8095,26482,5296.4000
719,8548,26482,5296.4000
720,5485,26488,5297.6000
721,6622,26497,5299.4000
722,153,26498,5299.6000
723,7110,26499,5299.8000
724,2693,26506,5301.2000
725,8274,26526,5305.2000
726,5066,26533,5306.6000
727,45,26536,5307.2000
728,3617,26546,5309.2000
729,872,26553,5310.6000
730,8227,26555,5311.0000
731,1624,26558,5311.6000
732,7659,26569,5313.8000
733,9290,26570,5314.0000
734,610,26576,5315.2000
735,6554,26582,5316.4000
736,9740,26582,5316.4000
737,1819,26583,5316.6000
738,7727,26583,5316.6000
739,6487,26589,5317.8000
740,6424,26600,5320.0000
741,278,26602,5320.4000
742,3559,26604,5320.8000
743,418,26611,5322.2000
744,3655,26620,5324.0000
745,1326,26628,5325.6000
746,101,26632,5326.4000
747,524,26638,5327.6000
748,7051,26646,5329.2000
749,3043,26652,5330.4000
750,3394,26652,5330.4000
751,2221,26654,5330.8000
752,6708,26655,5331.0000
753,7845,26662,5332.4000
754,2640,26664,5332.8000
755,5416,26667,5333.4000
756,6580,26676,5335.2000
757,3402,26678,5335.6000
758,6810,26688,5337.6000
759,2325,26695,5339.0000
760,2326,26699,5339.8000
761,2066,26704,5340.8000
762,7924,26704,5340.8000
763,612,26715,5343.0000
764,7955,26721,5344.2000
765,4716,26725,5345.0000
766,1637,26731,5346.2000
767,4710,26735,5347.0000
768,3156,26750,5350.0000
769,6014,26752,5350.4000
770,4910,26753,5350.6000
771,1703,26759,5351.8000
772,3277,26762,5352.4000
773,3421,26764,5352.8000
774,1790,26769,5353.8000
775,5495,26774,5354.8000
776,3429,26782,5356.4000
777,4610,26786,5357.2000
778,1451,26787,5357.4000
779,4213,26790,5358.0000
780,9544,26808,5361.6000
781,6361,26814,5362.8000
782,6847,26814,5362.8000
783,6338,26815,5363.0000
784,1938,26834,5366.8000
785,3928,26840,5368.0000
786,9064,26842,5368.4000
787,6253,26843,5368.6000
788,5761,26844,5368.8000
789,2999,26854,5370.8000
790,3557,26855,5371.0000
791,1902,26858,5371.6000
792,1256,26860,5372.0000
793,2756,26872,5374.4000
794,8388,26875,5375.0000
795,5846,26877,5375.4000
796,9615,26877,5375.4000
797,9445,26882,5376.4000
798,7843,26884,5376.8000
799,885,26884,5376.8000
800,630,26889,5377.8000
801,1350,26902,5380.4000
802,7414,26911,5382.2000
803,6866,26914,5382.8000
804,5095,26925,5385.0000
805,4843,26930,5386.0000
806,2990,26938,5387.6000
807,3594,26940,5388.0000
808,5663,26943,5388.6000
809,2174,26947,5389.4000
810,6419,26947,5389.4000
811,4139,26952,5390.4000
812,3558,26957,5391.4000
813,2052,26960,5392.0000
814,3135,26961,5392.2000
815,8919,26961,5392.2000
816,6644,26962,5392.4000
817,3818,26963,5392.6000
818,2825,26966,5393.2000
819,9361,26979,5395.8000
820,8622,26981,5396.2000
821,91,26989,5397.8000
822,7122,26994,5398.8000
823,4325,26996,5399.2000
824,8925,26999,5399.8000
825,9111,27000,5400.0000
826,3169,27009,5401.8000
827,3862,27017,5403.4000
828,6406,27020,5404.0000
829,8434,27024,5404.8000
830,9938,27026,5405.2000
831,5230,27030,5406.0000
832,8406,27038,5407.6000
833,6067,27044,5408.8000
834,2719,27050,5410.0000
835,7599,27059,5411.8000
836,3683,27077,5415.4000
837,5618,27087,5417.4000
838,160,27091,5418.2000
839,8860,27097,5419.4000
840,6569,27099,5419.8000
841,4925,27104,5420.8000
842,5725,27106,5421.2000
843,5533,27110,5422.0000
844,6373,27111,5422.2000
845,3245,27112,5422.4000
846,4528,27112,5422.4000
847,4129,27123,5424.6000
848,9456,27130,5426.0000
849,169,27132,5426.4000
850,686,27132,5426.4000
851,5318,27135,5427.0000
852,6488,27145,5429.0000
853,6495,27146,5429.2000
854,2748,27163,5432.6000
855,4765,27178,5435.6000
856,4542,27187,5437.4000
857,7215,27193,5438.6000
858,931,27193,5438.6000
859,1164,27207,5441.4000
860,1396,27219,5443.8000
861,6451,27222,5444.4000
862,7592,27225,5445.0000
863,1154,27227,5445.4000
864,6963,27233,5446.6000
865,8815,27234,5446.8000
866,2573,27249,5449.8000
867,454,27252,5450.4000
868,5063,27255,5451.0000
869,9709,27260,5452.0000
870,9412,27264,5452.8000
871,6779,27269,5453.8000
872,7840,27271,5454.2000
873,494,27272,5454.4000
874,1987,27275,5455.0000
875,1338,27276,5455.2000
876,69,27276,5455.2000
877,5877,27279,5455.8000
878,417,27287,5457.4000
879,7928,27288,5457.6000
880,1340,27291,5458.2000
881,9326,27291,5458.2000
882,6173,27293,5458.6000
883,923,27293,5458.6000
884,9262,27297,5459.4000
885,99,27305,5461.0000
886,3323,27310,5462.0000
887,914,27314,5462.8000
888,9068,27321,5464.2000
889,8222,27330,5466.0000
890,1315,27333,5466.6000
891,4876,27337,5467.4000
892,2376,27338,5467.6000
893,6688,27345,5469.0000
894,6764,27346,5469.2000
895,7542,27346,5469.2000
896,3361,27354,5470.8000
897,706,27368,5473.6000
898,5763,27370,5474.0000
899,4284,27380,5476.0000
900,6122,27388,5477.6000
901,9154,27392,5478.4000
902,859,27400,5480.0000
903,3354,27403,5480.6000
904,5766,27403,5480.6000
905,3051,27412,5482.4000
906,2916,27413,5482.6000
907,8147,27414,5482.8000
908,8122,27431,5486.2000
909,9218,27440,5488.0000
910,5331,27443,5488.6000
911,3630,27445,5489.0000
912,7523,27452,5490.4000
913,9700,27453,5490.6000
914,1209,27461,5492.2000
915,1939,27463,5492.6000
916,6552,27468,5493.6000
917,8448,27476,5495.2000
918,9704,27476,5495.2000
919,346,27480,5496.0000
920,2545,27483,5496.6000
921,5301,27483,5496.6000
922,2734,27489,5497.8000
923,9280,27491,5498.2000
924,479,27492,5498.4000
925,2680,27509,5501.8000
926,4563,27512,5502.4000
927,1540,27521,5504.2000
928,3544,27522,5504.4000
929,9435,27526,5505.2000
930,5387,27528,5505.6000
931,8478,27535,5507.0000
932,3119,27538,5507.6000
933,4418,27546,5509.2000
934,7096,27546,5509.2000
935,1305,27551,5510.2000
936,235,27553,5510.6000
937,4922,27554,5510.8000
938,904,27554,5510.8000
939,2817,27560,5512.0000
940,7002,27563,5512.6000
941,401,27567,5513.4000
942,2720,27572,5514.4000
943,8953,27583,5516.6000
944,982,27585,5517.0000
945,2242,27618,5523.6000
946,5588,27624,5524.8000
947,1410,27625,5525.0000
948,4663,27648,5529.6000
949,6601,27650,5530.0000
950,1518,27652,5530.4000
951,7892,27652,5530.4000
952,1740,27659,5531.8000
953,4477,27659,5531.8000
954,8958,27662,5532.4000
955,5540,27663,5532.6000
956,7031,27669,5533.8000
957,9215,27675,5535.0000
958,9330,27676,5535.2000
959,21,27679,5535.8000
960,4315,27683,5536.6000
961,2381,27686,5537.2000
962,2437,27687,5537.4000
963,5025,27689,5537.8000
964,5373,27690,5538.0000
965,896,27692,5538.4000
966,9359,27697,5539.4000
967,530,27699,5539.8000
968,5147,27702,5540.4000
969,462,27704,5540.8000
970,5716,27715,5543.0000
971,2618,27717,5543.4000
972,2504,27720,5544.0000
973,4410,27720,5544.0000
974,6748,27726,5545.2000
975,5365,27727,5545.4000
976,929,27727,5545.4000
977,2356,27729,5545.8000
978,276,27738,5547.6000
979,3008,27740,5548.0000
980,4958,27743,5548.6000
981,9511,27747,5549.4000
982,2864,27748,5549.6000
983,4847,27753,5550.6000
984,5128,27754,5550.8000
985,1163,27757,5551.4000
986,4460,27757,5551.4000
987,6019,27759,5551.8000
988,6610,27761,5552.2000
989,1588,27781,5556.2000
990,214,27783,5556.6000
991,2007,27785,5557.0000
992,7960,27790,5558.0000
993,9602,27797,5559.4000
994,4051,27798,5559.6000
995,8312,27809,5561.8000
996,3853,27815,5563.0000
997,4713,27815,5563.0000
998,1962,27819,5563.8000
999,468,27825,5565.0000
1000,7534,27826,5565.2000
1001,7723,27829,5565.8000
1002,8383,27840,5568.0000
1003,1889,27847,5569.4000
1004,3088,27847,5569.4000
